home_team_rank,away_team_rank,home_team_form,away_team_form,home_goal_diff,away_goal_diff,tournament_importance,is_neutral,h2h_points_diff,goal_diff,result
93.0,109.0,0,7,0.0,1.3333333333333333,1,0,0,1,1
83.0,23.0,7,8,0.25,1.0,1,0,0,0,0
20.0,18.0,6,9,0.2,0.8,1,0,0,1,1
32.0,36.0,6,5,0.0,-0.4,1,0,0,2,1
10.0,26.0,7,9,-1.0,0.4,1,0,0,2,1
36.0,31.0,6,4,0.0,-0.25,1,0,0,-1,2
6.0,53.0,9,4,0.8,-0.6,1,0,0,2,1
43.0,34.0,3,2,-0.5,-1.0,1,1,0,-2,2
87.0,52.0,0,8,-3.0,0.0,1,0,0,0,0
8.0,17.0,13,5,2.4,0.0,1,0,0,-1,2
35.0,160.0,7,0,0.75,-2.0,3,0,0,3,1
3.0,22.0,10,10,1.0,1.0,1,0,0,0,0
11.0,47.0,12,4,1.0,-1.6,1,0,0,3,1
54.0,103.0,6,3,0.0,2.0,1,0,0,3,1
4.0,63.0,10,0,1.6,0.0,1,0,0,3,1
57.0,12.0,6,7,1.0,0.4,1,0,0,-1,2
32.0,9.0,3,6,-0.3333333333333333,0.0,1,0,0,-2,2
92.0,41.0,0,7,-4.0,0.0,1,0,0,1,1
37.0,34.0,7,4,1.0,-0.6,1,0,0,4,1
117.0,71.0,7,4,0.6666666666666666,0.0,1,0,0,3,1
56.0,2.0,4,10,-0.6,1.2,1,0,0,-2,2
62.0,25.0,0,9,0.0,0.8,1,0,0,0,0
20.0,72.0,8,1,0.4,-1.5,1,1,3,1,1
73.0,51.0,0,0,0.0,0.0,1,1,0,2,1
47.0,34.0,4,3,-1.0,-1.4,1,1,0,1,1
1.0,43.0,12,3,1.6,-1.0,1,0,0,3,1
28.0,53.0,5,4,-0.4,-0.6,1,0,0,1,1
20.0,73.0,10,3,0.6,2.0,1,1,0,3,1
51.0,72.0,0,1,-2.0,-1.4,1,1,0,1,1
9.0,5.0,8,8,0.4,0.6,1,0,0,2,1
37.0,27.0,10,4,1.75,0.3333333333333333,1,0,0,-3,2
